time,x,y,z,qx,qy,qz,qw
1675085178.6232553,0.0015400296404776167,-0.0004153325354087591,-0.0032601692729101843,-0.0027154382604437284,-0.0012856210295420637,-0.0007250111477298879,0.9999988056755924
1675085178.6265328,0.001657958919421563,-0.00038159991003005147,-0.003261682476005286,-0.0027201433218926488,-0.0012825356525609486,-0.0007321936834672517,0.999998802157995
1675085178.6404657,0.0017758279630215809,-0.0003478793299867586,-0.0032631946373245617,-0.0027260732585857508,-0.0012838667096519193,-0.0007152896933022558,0.9999988007589236
1675085178.6465876,0.0018936469150978882,-0.0003141744136542681,-0.0032647051360654433,-0.002728604284419438,-0.0012887527263095153,-0.0007068373139794611,0.9999987989667278
1675085178.6565945,0.0020114101973461667,-0.00028047666296410374,-0.0032662206909340654,-0.002770794665455791,-0.001289743826811526,-0.0006745547759087841,0.999998775228307
1675085178.6666358,0.0021291216511330193,-0.0002467989292414056,-0.0032677260712369355,-0.0027542605475931463,-0.0013001000031924537,-0.0006636363802387901,0.9999987851253239
1675085178.6766582,0.0004949270089544488,-0.0006785623288179227,-0.0033066671724130314,-0.0032723631265377845,-0.0014515452721907372,-0.0004862756208855912,0.9999983682359741
1675085178.6866608,0.0004126260322938215,-0.0006974444369270298,-0.0033133744594582653,-0.003314593950845056,-0.001463358970234708,-0.00046327432557689645,0.9999983318978982
1675085178.696639,0.0003303663757622245,-0.0007163185743951891,-0.0033200793064015154,-0.003353792615371433,-0.0014722093561065522,-0.0004473090505188164,0.999998297798357
1675085178.7402754,0.0002481402928910044,-0.0007351869216476806,-0.003326782432349576,-0.0033855221449874836,-0.0014790541697289328,-0.00042951820277524174,0.9999982705010265
1675085178.7813847,0.00016595348396058595,-0.0007540469509329897,-0.003333484239875015,-0.0034082124818243117,-0.0014885887823555687,-0.0004178133624291531,0.9999982489387249
1675085178.7814054,8.380396426260954e-05,-0.0007728990721230325,-0.0033401845559663922,-0.0034239587961336256,-0.0014975968143521028,-0.00040922759907880394,0.999998233018858
1675085178.7814202,1.6928426112630747e-06,-0.0007917474175073754,-0.0033468851614989296,-0.003434977841925045,-0.0015135695492078836,-0.00038238469503161515,0.9999982202293737
1675085178.8254628,0.000512091460832676,-0.0008510360340808354,-0.0032726283198123707,-0.0026997019504538637,-0.001522963980138668,-0.0003491560753313162,0.9999987836060045
1675085178.825505,0.0005034779102911786,-0.0008759592804585055,-0.003269091030607209,-0.002653043977946389,-0.0015326705081407804,-0.0003328737973040153,0.9999988125154499
1675085178.825533,0.000494866880733704,-0.0009008769632129078,-0.0032655550473885634,-0.002615843215959708,-0.001544512915146645,-0.0003120615733010984,0.9999988341505192
1675085178.8255494,0.0004862620325475626,-0.0009257783355809497,-0.003262021647222544,-0.0025873294228203206,-0.0015575694986686888,-0.00029121819814081104,0.9999988492156584
1675085178.8694286,0.00048196057590385263,-0.0009382266625662908,-0.0032602552718924618,-0.0025759108911613373,-0.001561452306277915,-0.00028243728855258267,0.9999988557057626
1675085178.8694606,0.00047765930657772573,-0.0009506738992318714,-0.0032584888664010494,-0.0025679730844530607,-0.0015613571583152706,-0.0002808590468926897,0.9999988609591594
1675085178.869503,0.0004690621907224208,-0.000975555465096984,-0.003254957313573383,-0.002561888282652029,-0.0015571482186236547,-0.0002637790382197584,0.9999988676736603
