time,x,y,z,qx,qy,qz,qw
1675084913.0938232,0.0005773635930381715,-0.0006596586317755282,-0.0032999434042721987,-0.0032033660648011966,-0.0014360161465499877,-0.0005074234644367955,0.9999984270620056
1675084913.1588078,0.0005207830690778792,-0.0008260868489742279,-0.0032761625479906797,-0.002758633846400445,-0.0015118435198310212,-0.00036899332075936104,0.9999987458221413
1675084913.2459478,0.0005346200778149068,-0.0006985710933804512,-0.0032494342885911465,-0.00309057021198577,-0.00147931729806628,-0.0004910611568039274,0.9999985020768636
1675084913.2924545,0.0005537522956728935,-0.0008894485072232783,-0.0034086601808667183,-0.002800770732475845,-0.0016140549382290459,-0.00033822590399414554,0.999998679323543
1675084913.3571362,0.0004299681750126183,-0.0006528496742248535,-0.002981055062264204,-0.003143912269384782,-0.0011886883894296908,-0.0005695707895577301,0.9999985470375491
1675084913.4248595,0.0007080972427502275,-0.00014938786625862122,-0.003262724494561553,-0.003002201194228786,-0.001460335934791053,-0.0009049580777010512,0.9999985039119543
1675084913.4920263,0.0007688584737479687,-0.000588652677834034,-0.0034447249490767717,-0.0029716549004619943,-0.0015550706228434099,-0.0005422662678868804,0.9999985568085943
1675084913.5591612,0.0006904118345119059,-0.0011715833097696304,-0.003129510208964348,-0.00251111101690597,-0.0012807879340577559,-0.00024256714872764073,0.9999989992858749
1675084913.6237433,0.0005461507244035602,-0.001118260552175343,-0.003071270417422056,-0.0026380787356648483,-0.0013040157434656618,-0.00015826051826971113,0.9999989143119097
1675084913.69181,0.0007417054148390889,-0.0008306801901198924,-0.0030165226198732853,-0.00272178339414307,-0.0011886778881212577,-0.00042442768572257167,0.9999988746788383
1675084913.7573662,0.0012489324435591698,-0.0005221301689743996,-0.003658528905361891,-0.0033220437166003613,-0.0016161940126234724,-0.0005336882770310495,0.9999982580325808
1675084913.8538144,0.0005428435397334397,-0.0010851668193936348,-0.00301562761887908,-0.0028643010086173933,-0.0013447686518693945,-0.00023284017282884818,0.9999987415336242
1675084913.8973818,0.0005803889944218099,-0.0007054434390738606,-0.0029797563329339027,-0.0028748751742194117,-0.0011949360498230482,-0.0005894354062193356,0.9999987447206191
1675084913.9587765,0.0005578897544182837,-0.0007090522558428347,-0.003017490729689598,-0.0027355713614730026,-0.001282087150377435,-0.0005724674705566953,0.9999988178972771
1675084914.0424058,0.000967689324170351,-0.00035777693847194314,-0.0033636209554970264,-0.0028384725577321173,-0.0014207614528609668,-0.0008669350118643754,0.9999986461802974
1675084914.0907195,0.0008640294545330107,-0.0008339452324435115,-0.002965550171211362,-0.002690026540894492,-0.0010501017247395428,-0.0005125352108583654,0.9999989246132268
1675084914.156441,0.00120336574036628,3.0415132641792297e-05,-0.0030121556483209133,-0.003022318960162092,-0.0010783579076426985,-0.0011151260315648474,0.9999985569495793
1675084914.2431974,0.0010062702931463718,-0.0006007467745803297,-0.002942450111731887,-0.0029070698807294798,-0.0011430222311846852,-0.0006468497323808858,0.9999987277355435
1675084914.289308,0.0008681225590407848,-0.00017625457257963717,-0.0027788858860731125,-0.0032437459228133,-0.0010607901003099457,-0.0009529875184395509,0.9999984301721911
1675084914.3575158,0.0006209946004673839,0.00016495585441589355,-0.003117741784080863,-0.003342603792030523,-0.0013265879909562003,-0.0012812565223379103,0.9999981774840413
1675084914.422241,0.00040900876047089696,-0.0005598589777946472,-0.0024386001750826836,-0.0027330130138390556,-0.0007403814801852321,-0.0007991047146124762,0.9999989177865185
1675084914.4897523,0.0008170310757122934,1.1716969311237335e-05,-0.0028466517105698586,-0.00330072864215775,-0.0009709568328992617,-0.001121196273829238,0.9999983627205702
1675084914.5561562,0.0007227205205708742,-0.0006974134594202042,-0.0026978645473718643,-0.00279219798160251,-0.0008893353423031375,-0.0005737780079664236,0.9999988852586847
1675084914.6728618,0.0009501801105216146,-0.0003611733845900744,-0.00302632967941463,-0.00284261100221134,-0.001132467813151488,-0.000890812742193368,0.999998730083495
1675084914.7212453,0.0010724265594035387,-0.0007254470838233829,-0.0032426395919173956,-0.0030688061783064003,-0.0013134407955580564,-0.0005137204181231437,0.9999985739158636
1675084914.7689216,0.0004505228716880083,-0.0005675638094544411,-0.002936038887128234,-0.003026379325409044,-0.0011627804781912815,-0.0006697859536782089,0.9999986297504322
1675084914.856984,0.0004272010992281139,-0.0012829769402742386,-0.0028976055327802896,-0.0028536916300106064,-0.0011547994824537696,-7.553296576048206e-05,0.9999988146163595
1675084914.9010746,0.00015571399126201868,-0.0011633167741820216,-0.0029007024131715298,-0.0027062318652427138,-0.0012573807890164787,-0.00015796196144797416,0.9999988837269751
1675084914.9585352,0.00034554017474874854,-0.0012202432844787836,-0.00300187268294394,-0.0028300812345456467,-0.0012798441132156647,-1.7785343811164715e-05,0.9999987940326933
1675084915.0607624,0.0006702608661726117,-0.0011066236766055226,-0.0030966370832175016,-0.0027821047913558815,-0.0012039771638283133,-7.10186841786376e-05,0.9999988506316352
1675084915.1069114,0.0009547686204314232,-0.0011160869617015123,-0.0032914020121097565,-0.002423364303472355,-0.0013636448772170334,-0.0002925805423484243,0.999999022651263
1675084915.1603131,0.00048434233758598566,-0.0009729945450089872,-0.002680425997823477,-0.0026662132381130473,-0.0010309497452686345,-0.0002462129505631289,0.9999989708942607
1675084915.2267196,0.00043234109762124717,-0.0005960743874311447,-0.0028957086615264416,-0.0030951121424707545,-0.0011045846948210647,-0.0005184497076331767,0.9999986162018331
1675084915.3242404,0.0007137582870200276,-0.0007274923846125603,-0.002813776722177863,-0.0033713707692198036,-0.0009220505688216392,-0.0005041108462376894,0.9999984409989224
1675084915.3694217,0.0004719247226603329,-0.0012028655037283897,-0.0031284585129469633,-0.0027780171738844037,-0.0013956022461516272,-6.814061736201201e-05,0.9999987912513539
1675084915.4616213,0.0001277662522625178,-0.0009238497586920857,-0.0030687584076076746,-0.0027131599286217005,-0.0013341270757910044,-0.00040585391528978284,0.9999988365855874
1675084915.5054312,0.0004303204477764666,-0.0005033930065110326,-0.0031877318397164345,-0.003157120872648071,-0.0014596599508601477,-0.0006348729068988301,0.9999984369995938
1675084915.5815213,0.0004361678147688508,-0.0007317877607420087,-0.003316188231110573,-0.002968897189756894,-0.0014190063402650561,-0.000536095815113666,0.9999986103021956
1675084915.6257975,0.0006335580255836248,-0.0006735026836395264,-0.0031587015837430954,-0.0032065264933098876,-0.0012985493968854852,-0.000546527072198441,0.9999984663743378
1675084915.7084014,0.000581073050852865,-0.0009390805498696864,-0.0031938492320477962,-0.0030239395608097496,-0.0013592674167730975,-0.0002464497893539971,0.9999986183043924
1675084915.7618554,0.000912488205358386,-0.0003538018208928406,-0.0033954735845327377,-0.003195648439041441,-0.0014707629892785892,-0.0007079325542139721,0.9999983900246604
1675084915.8277357,0.0007370813982561231,-0.0007423330098390579,-0.003308359067887068,-0.0028452699485834966,-0.0013786018606041022,-0.0005460854676286051,0.9999987129435266
1675084915.8925116,0.0006299553206190467,-0.0005003372789360583,-0.0032697466667741537,-0.0034510332757352255,-0.0013044592545264405,-0.0005611370936595507,0.999998258920068
1675084915.9604914,0.0005646344507113099,-0.0002907178713940084,-0.003078855574131012,-0.0033070434192458537,-0.0013403666056831679,-0.0007027166047152167,0.9999983462451839
1675084916.050056,0.0006178397452458739,-0.0004309294745326042,-0.003121540416032076,-0.002962721073708027,-0.0012905513776753934,-0.0007420886905655874,0.9999986254040206
1675084916.0974934,0.0010282826842740178,-0.00023901741951704025,-0.0029657375998795033,-0.003243850318829554,-0.0010527104159364043,-0.0008759056654651992,0.999998449879875
1675084916.1602619,0.0004540454247035086,-0.0007160092936828732,-0.0028031852561980486,-0.0030041396216538368,-0.0010812361804294706,-0.00040238945432341245,0.99999870535655
1675084916.2283168,0.00024841123376972973,-0.0005469760508276522,-0.0033981408923864365,-0.003326781442887678,-0.0015969892017791798,-0.0005213382013930762,0.9999982634492625
1675084916.2935646,0.0008877029176801443,-0.0006297668442130089,-0.0034002321772277355,-0.003261679427994813,-0.001471769457674361,-0.0003221530284814574,0.9999983862523032
1675084916.362684,0.00017205590847879648,-0.001394263468682766,-0.002883719280362129,-0.0019824425387770274,-0.0011952532993802195,-0.0001950922289414433,0.9999993253461212
1675084916.4282897,0.0007599838427267969,-0.001104310154914856,-0.0036259805783629417,-0.0027349320782564623,-0.001657517683546774,-0.00015675036912712748,0.9999987184380402
1675084916.4981205,0.0006736718933098018,-0.000855283928103745,-0.002957313321530819,-0.0029558830484944913,-0.0010916243575604895,-0.00025531205703710843,0.9999987506383254
1675084916.5642643,0.0003648947458714247,-0.0009193448931910098,-0.003448678646236658,-0.002918947370406833,-0.0016202437744905552,-0.00032497269423501077,0.9999985934270976
1675084916.6473608,0.00046533867134712636,-0.0004391949041746557,-0.003164208959788084,-0.0033515270491435273,-0.0013282809045942264,-0.000546998266812196,0.9999983376624654
1675084916.6951835,8.618284482508898e-05,-0.000949353096075356,-0.00312739796936512,-0.0030188713657615007,-0.0013906666010147582,-0.0003222894918464171,0.9999986059053338
1675084916.7652733,0.00019873754354193807,-0.0003450857475399971,-0.0028395317494869232,-0.0031838524147714624,-0.0011919161897714315,-0.0006341586908260039,0.9999985047325451
1675084916.8691525,0.0008496301015838981,-0.001579735428094864,-0.0033324293326586485,-0.0028629079939562745,-0.0014588876113632143,-3.4880180228515636e-05,0.9999987092557653
1675084916.9170215,0.0010213349014520645,-0.0013113253517076373,-0.0032128584571182728,-0.002748120815823264,-0.001131202304049723,-0.0003804074543686225,0.9999988777904404
1675084916.9611669,0.0024718032218515873,-0.0007206164300441742,-0.0034077924210578203,-0.0037873294432639055,-0.0008784820381931117,-0.0016858605399535415,0.9999977545851793
1675084917.0282235,0.003912856802344322,-0.0026963697746396065,-0.003155649406835437,-0.003266544088101284,-0.00090495040125173,-0.0025681452033975882,0.9999977384758719
1675084917.1274245,0.009124154224991798,-0.004011817276477814,-0.00288641476072371,-0.003474886191301628,-0.0005361210392823743,-0.006085966143396352,0.9999938234384618
1675084917.173297,0.014007734134793282,-0.003929136786609888,-0.002468650694936514,-0.0033786332292756395,-0.00048503910438379245,-0.010528615781891303,0.9999846851238612
1675084917.2720664,0.020319730043411255,-0.0037355180829763412,-0.0025124764069914818,-0.0033030354104421544,-0.0004656029762810799,-0.014018538476439173,0.999974041658956
1675084917.3174558,0.0263596773147583,-0.0009594315197318792,-0.0028029836248606443,-0.0032706460363096566,-0.000949695311012421,-0.016073586292842005,0.9999662490774932
1675084917.3630342,0.032588616013526917,0.0004925951361656189,-0.0007931014988571405,-0.0013400178811420705,0.00042373333255695477,-0.012542190692492577,0.9999800907413481
1675084917.429156,0.04282645136117935,0.00038470514118671417,-0.00045390689047053456,0.0004442238972724735,0.0005612156531726939,-0.005018776704954537,0.9999967872932675
1675084917.5250213,0.05112481117248535,0.0010120812803506851,-0.0003184620290994644,-0.002189698563747452,0.0009119948410978642,0.0026059199238053906,0.9999984471837108
1675084917.573255,0.05914144217967987,-0.0014548071194440126,0.0005943378200754523,-0.0014395219636806934,0.0007415993927003388,0.010423690920816235,0.9999860892035624
1675084917.6395903,0.0697401836514473,-0.0010908578988164663,0.0006704082479700446,-0.0010962679867429755,0.0006665406154592285,0.015917841932495708,0.9999681207483628
1675084917.7213776,0.08128004521131516,-0.0012692139716818929,0.0012339691165834665,-0.0017949505768671513,0.0008708745327440525,0.021293028671296947,0.9999428247355686
1675084917.7674973,0.09146670997142792,-0.0016945861279964447,0.0019667912274599075,-0.0014434379418203896,0.0007092692494726368,0.026191875610420794,0.9999139227860504
1675084917.8609633,0.10418762266635895,-0.00233257282525301,0.0022660326212644577,-0.002974073406242606,0.0007403222370438512,0.0306843685569111,0.9998811285443993
1675084917.9041383,0.11542962491512299,-0.0018713796744123101,0.002310659969225526,-0.003450252709477751,0.0004349256226851348,0.03346779165521684,0.9998584738915002
1675084917.9643922,0.12696267664432526,-0.0013208022573962808,0.002870254684239626,-0.0037196617080950435,0.000708136264158008,0.036241609516639066,0.9998340189053191
1675084918.0324233,0.13959914445877075,-0.0008755204034969211,0.003279308322817087,-0.004135234528594297,0.001096361106345642,0.039145334060118255,0.9998061519524593
1675084918.1192758,0.1505211442708969,-0.0006430696230381727,0.004576004110276699,-0.004687681133699702,0.0013647582977012016,0.042640889943303034,0.9997697148894843
1675084918.1642187,0.16151908040046692,0.0006131383124738932,0.004887505434453487,-0.0060278167687770525,0.0014997027433157242,0.04574938471544314,0.9997335122468145
1675084918.2295094,0.17256440222263336,0.001867198385298252,0.005160457920283079,-0.0072004034972564055,0.0016112118363981606,0.04935350174449162,0.9996886697239218
1675084918.3327186,0.18307256698608398,0.0021784361451864243,0.004854449536651373,-0.006478278474870181,0.0011924875077627833,0.05402962262212423,0.9996296482283932
1675084918.3772526,0.19367766380310059,0.003698315005749464,0.005708560813218355,-0.007421514510450203,0.0015281834565217469,0.0582975398179969,0.9995679483304494
1675084918.448825,0.20157745480537415,0.004131262190639973,0.006300738081336021,-0.007738762528077968,0.001987627267256186,0.06413109771897704,0.9994778452783275
1675084918.498402,0.20941315591335297,0.005851851776242256,0.006425009574741125,-0.008630850035141404,0.001943321347356673,0.06964245463509688,0.9993838787808192
1675084918.6005661,0.21824471652507782,0.006381502375006676,0.006619768682867289,-0.0083676925983539,0.0021813990512617363,0.07661868039057988,0.9992567719709353
1675084918.6449912,0.22603417932987213,0.007496398873627186,0.007264672312885523,-0.009302763906669386,0.0024429053639014736,0.08319991739762374,0.9991230565982391
